Data;Cargo;Regime de trabalho
06/03/2013;Eletricista;Trabalho
07/03/2013;Eletricista;Trabalho
08/03/2013;Eletricista;Trabalho
09/03/2013;Eletricista;Folga
10/03/2013;Eletricista;Folga
11/03/2013;Eletricista;Trabalho
12/03/2013;Eletricista;Trabalho
13/03/2013;Eletricista;Trabalho
14/03/2013;Eletricista;Trabalho
15/03/2013;Eletricista;Trabalho
16/03/2013;Eletricista;Folga
17/03/2013;Eletricista;Folga
18/03/2013;Eletricista;Trabalho
19/03/2013;Eletricista;Trabalho
20/03/2013;Eletricista;Trabalho
21/03/2013;Eletricista;Trabalho
22/03/2013;Eletricista;Trabalho
23/03/2013;Eletricista;Folga
24/03/2013;Eletricista;Folga
25/03/2013;Eletricista;Trabalho
26/03/2013;Eletricista;Trabalho
27/03/2013;Eletricista;Trabalho
28/03/2013;Eletricista;Trabalho
29/03/2013;Eletricista;Trabalho
30/03/2013;Eletricista;Folga
31/03/2013;Eletricista;Folga
01/04/2013;Eletricista;Trabalho
02/04/2013;Eletricista;Trabalho
03/04/2013;Eletricista;Trabalho
04/04/2013;Eletricista;Trabalho
05/04/2013;Eletricista;Trabalho
06/04/2013;Eletricista;Folga
07/04/2013;Eletricista;Folga
08/04/2013;Eletricista;Trabalho
09/04/2013;Eletricista;Trabalho
10/04/2013;Eletricista;Trabalho
11/04/2013;Eletricista;Trabalho
12/04/2013;Eletricista;Trabalho
13/04/2013;Eletricista;Folga
14/04/2013;Eletricista;Folga
15/04/2013;Eletricista;Trabalho
16/04/2013;Eletricista;Trabalho
17/04/2013;Eletricista;Trabalho
18/04/2013;Eletricista;Trabalho
19/04/2013;Eletricista;Trabalho
20/04/2013;Eletricista;Folga
21/04/2013;Eletricista;Folga
22/04/2013;Eletricista;Trabalho
23/04/2013;Eletricista;Trabalho
24/04/2013;Eletricista;Trabalho
25/04/2013;Eletricista;Trabalho
26/04/2013;Eletricista;Trabalho
27/04/2013;Eletricista;Folga
28/04/2013;Eletricista;Folga
29/04/2013;Eletricista;Trabalho
30/04/2013;Eletricista;Trabalho
01/05/2013;Eletricista;Trabalho
02/05/2013;Eletricista;Trabalho
03/05/2013;Eletricista;Trabalho
04/05/2013;Eletricista;Folga
05/05/2013;Eletricista;Folga
06/05/2013;Eletricista;Trabalho
07/05/2013;Eletricista;Trabalho
08/05/2013;Eletricista;Trabalho
09/05/2013;Eletricista;Trabalho
10/05/2013;Eletricista;Trabalho
11/05/2013;Eletricista;Folga
12/05/2013;Eletricista;Folga
13/05/2013;Eletricista;Trabalho
14/05/2013;Eletricista;Trabalho
15/05/2013;Eletricista;Trabalho
16/05/2013;Eletricista;Trabalho
17/05/2013;Eletricista;Trabalho
18/05/2013;Eletricista;Folga
19/05/2013;Eletricista;Folga
20/05/2013;Eletricista;Trabalho
21/05/2013;Eletricista;Trabalho
22/05/2013;Eletricista;Trabalho
23/05/2013;Eletricista;Trabalho
24/05/2013;Eletricista;Trabalho
25/05/2013;Eletricista;Folga
26/05/2013;Eletricista;Folga
27/05/2013;Eletricista;Trabalho
28/05/2013;Eletricista;Trabalho
29/05/2013;Eletricista;Trabalho
30/05/2013;Eletricista;Trabalho
31/05/2013;Eletricista;Trabalho
01/06/2013;Eletricista;Folga
02/06/2013;Eletricista;Folga
03/06/2013;Eletricista;Trabalho
04/06/2013;Eletricista;Trabalho
05/06/2013;Eletricista;Trabalho
06/06/2013;Eletricista;Trabalho
07/06/2013;Eletricista;Trabalho
08/06/2013;Eletricista;Folga
09/06/2013;Eletricista;Folga
10/06/2013;Eletricista;Trabalho
11/06/2013;Eletricista;Trabalho
12/06/2013;Eletricista;Trabalho
13/06/2013;Eletricista;Trabalho
14/06/2013;Eletricista;Trabalho
15/06/2013;Eletricista;Folga
16/06/2013;Eletricista;Folga
17/06/2013;Eletricista;Trabalho
18/06/2013;Eletricista;Trabalho
19/06/2013;Eletricista;Trabalho
20/06/2013;Eletricista;Trabalho
21/06/2013;Eletricista;Trabalho
22/06/2013;Eletricista;Folga
23/06/2013;Eletricista;Folga
24/06/2013;Eletricista;Trabalho
25/06/2013;Eletricista;Trabalho
26/06/2013;Eletricista;Trabalho
27/06/2013;Eletricista;Trabalho
28/06/2013;Eletricista;Trabalho
29/06/2013;Eletricista;Folga
30/06/2013;Eletricista;Folga
01/07/2013;Eletricista;Trabalho
02/07/2013;Eletricista;Trabalho
03/07/2013;Eletricista;Trabalho
04/07/2013;Eletricista;Trabalho
05/07/2013;Eletricista;Trabalho
06/07/2013;Eletricista;Folga
07/07/2013;Eletricista;Folga
08/07/2013;Eletricista;Trabalho
09/07/2013;Eletricista;Trabalho
10/07/2013;Eletricista;Trabalho
11/07/2013;Eletricista;Trabalho
12/07/2013;Eletricista;Trabalho
13/07/2013;Eletricista;Folga
14/07/2013;Eletricista;Folga
15/07/2013;Eletricista;Trabalho
16/07/2013;Eletricista;Trabalho
17/07/2013;Eletricista;Trabalho
18/07/2013;Eletricista;Trabalho
19/07/2013;Eletricista;Trabalho
20/07/2013;Eletricista;Folga
21/07/2013;Eletricista;Folga
22/07/2013;Eletricista;Trabalho
23/07/2013;Eletricista;Trabalho
24/07/2013;Eletricista;Trabalho
25/07/2013;Eletricista;Trabalho
26/07/2013;Eletricista;Trabalho
27/07/2013;Eletricista;Folga
28/07/2013;Eletricista;Folga
29/07/2013;Eletricista;Trabalho
30/07/2013;Eletricista;Trabalho
31/07/2013;Eletricista;Trabalho
01/08/2013;Eletricista;Trabalho
02/08/2013;Eletricista;Trabalho
03/08/2013;Eletricista;Folga
04/08/2013;Eletricista;Folga
05/08/2013;Eletricista;Trabalho
06/08/2013;Eletricista;Trabalho
07/08/2013;Eletricista;Trabalho
08/08/2013;Eletricista;Trabalho
09/08/2013;Eletricista;Trabalho
10/08/2013;Eletricista;Folga
11/08/2013;Eletricista;Folga
12/08/2013;Eletricista;Trabalho
13/08/2013;Eletricista;Trabalho
14/08/2013;Eletricista;Trabalho
15/08/2013;Eletricista;Trabalho
16/08/2013;Eletricista;Trabalho
17/08/2013;Eletricista;Folga
18/08/2013;Eletricista;Folga
19/08/2013;Eletricista;Trabalho
20/08/2013;Eletricista;Trabalho
21/08/2013;Eletricista;Trabalho
22/08/2013;Eletricista;Trabalho
23/08/2013;Eletricista;Trabalho
24/08/2013;Eletricista;Folga
25/08/2013;Eletricista;Folga
26/08/2013;Eletricista;Trabalho
27/08/2013;Eletricista;Trabalho
28/08/2013;Eletricista;Trabalho
29/08/2013;Eletricista;Trabalho
30/08/2013;Eletricista;Trabalho
31/08/2013;Eletricista;Folga
01/09/2013;Eletricista;Folga
02/09/2013;Eletricista;Trabalho
03/09/2013;Eletricista;Trabalho
04/09/2013;Eletricista;Trabalho
05/09/2013;Eletricista;Trabalho
06/09/2013;Eletricista;Trabalho
07/09/2013;Eletricista;Folga
08/09/2013;Eletricista;Folga
09/09/2013;Eletricista;Trabalho
10/09/2013;Eletricista;Trabalho
11/09/2013;Eletricista;Trabalho
12/09/2013;Eletricista;Trabalho
13/09/2013;Eletricista;Trabalho
14/09/2013;Eletricista;Folga
15/09/2013;Eletricista;Folga
16/09/2013;Eletricista;Trabalho
17/09/2013;Eletricista;Trabalho
18/09/2013;Eletricista;Trabalho
19/09/2013;Eletricista;Trabalho
20/09/2013;Eletricista;Trabalho
21/09/2013;Eletricista;Folga
22/09/2013;Eletricista;Folga
23/09/2013;Eletricista;Trabalho
24/09/2013;Eletricista;Trabalho
25/09/2013;Eletricista;Trabalho
26/09/2013;Eletricista;Trabalho
27/09/2013;Eletricista;Trabalho
28/09/2013;Eletricista;Folga
29/09/2013;Eletricista;Folga
30/09/2013;Eletricista;Trabalho
01/10/2013;Eletricista;Trabalho
02/10/2013;Eletricista;Trabalho
03/10/2013;Eletricista;Trabalho
04/10/2013;Eletricista;Trabalho
05/10/2013;Eletricista;Folga
06/10/2013;Eletricista;Folga
07/10/2013;Eletricista;Trabalho
08/10/2013;Eletricista;Trabalho
09/10/2013;Eletricista;Trabalho
10/10/2013;Eletricista;Trabalho
11/10/2013;Eletricista;Trabalho
12/10/2013;Eletricista;Folga
13/10/2013;Eletricista;Folga
14/10/2013;Eletricista;Trabalho
15/10/2013;Eletricista;Trabalho
16/10/2013;Eletricista;Trabalho
17/10/2013;Eletricista;Trabalho
18/10/2013;Eletricista;Trabalho
19/10/2013;Eletricista;Folga
20/10/2013;Eletricista;Folga
21/10/2013;Eletricista;Trabalho
22/10/2013;Eletricista;Trabalho
23/10/2013;Eletricista;Trabalho
