Data;Hora Início;Hora Fim;"HE
Receber";"HE
Compensar";Horas;Justificativa;Salario Bruto
18.11.2013;17:00:00;18:30:00;X;;1,50;;2050,02
19.11.2013;06:00:00;07:30:00;X;;1,50;;2050,02
19.11.2013;17:00:00;18:30:00;X;;1,50;;2050,02
27.11.2013;06:30:00;07:30:00;X;;1,00;;2050,02
27.11.2013;17:00:00;18:00:00;X;;1,00;;2050,02
03.12.2013;17:00:00;20:30:00;X;;3,50;;2050,02
04.12.2013;17:00:00;19:30:00;X;;2,50;;2050,02
05.12.2013;17:00:00;18:30:00;X;;1,50;;2050,02
06.12.2013;17:30:00;18:30:00;X;;1,00;;2050,02
09.12.2013;17:30:00;18:30:00;X;;1,00;;2050,02
10.12.2013;17:30:00;19:30:00;X;;2,00;;2050,02
13.12.2013;17:30:00;18:30:00;X;;1,00;;2050,02
16.12.2013;17:30:00;18:30:00;X;;1,00;;2050,02
26.12.2013;17:30:00;20:00:00;X;;2,50;;2050,02
27.12.2013;17:30:00;21:00:00;X;;3,50;;2050,02
02.01.2014;17:30:00;21:00:00;X;;3,50;;2050,02
06.01.2014;17:00:00;17:30:00;X;;0,50;;2050,02
07.01.2014;17:00:00;18:00:00;X;;1,00;;2050,02
21.01.2014;17:00:00;19:00:00;X;;2,00;;2050,02
22.01.2014;17:00:00;19:00:00;X;;2,00;;2050,02
23.01.2014;17:00:00;20:30:00;X;;3,50;;2050,02
24.01.2014;17:00:00;21:00:00;X;;4,00;;2050,02
27.01.2014;17:00:00;19:00:00;X;;2,00;;2050,02
25.03.2014;17:00:00;20:30:00;X;;3,50;Rc07, Rc16 Prata;2224,60
03.04.2014;06:30:00;07:30:00;X;;1,00;OSLN Nova Era Morada dos;2224,60
03.04.2014;17:00:00;18:00:00;X;;1,00;Rc's07,03 Dionísio, Baix;2224,60
04.04.2014;03:30:00;05:00:00;X;;1,50;"RC08 DAE João
Monlevade";2224,60
10.04.2014;17:00:00;19:30:00;X;;2,50;RC's 12 Prata Carro 2423;2224,60
14.04.2014;17:00:00;19:00:00;X;;2,00;Rc's Rio Piracicaba. A p;2224,60
24.04.2014;17:00:00;18:00:00;X;;1,00;RC's 07,30 (Carneirinhos;2224,60
05.05.2014;17:00:00;19:00:00;X;;2,00;"RC16, RC03 São
Gonçalo";2224,60
07.05.2014;17:00:00;18:00:00;X;;1,00;Rc's Nova Era/Prata 3510;2224,60
09.05.2014;05:30:00;07:30:00;X;;2,00;Manobra Nova Era 3645;2224,60
09.05.2014;17:00:00;18:30:00;X;;1,50;Manobra Nova Era 3645;2224,60
21.05.2014;17:00:00;18:30:00;X;;1,50;OSLN, OSML PRATA;2224,60
24.06.2014;17:30:00;20:00:00;X;;2,50;Manobra em  Nova Era;2224,60
27.06.2014;17:30:00;18:00:00;X;;0,50;RC08 Rua Bahia Tanquinho;2224,60
01.07.2014;05:00:00;07:30:00;X;;2,50;RC09 Rua Siderúrgica;2224,60
01.07.2014;17:30:00;18:00:00;X;;0,50;Manobra JM;2224,60
04.07.2014;06:30:00;07:30:00;X;;1,00;Acionado por Dercilei pa;2224,60
06.07.2014;14:30:00;17:00:00;X;;2,50;Acionado para atender re;2224,60
10.07.2014;06:00:00;07:30:00;X;;1,50;Manobra Nova Era;2224,60
11.07.2014;06:00:00;07:30:00;X;;1,50;RC09 João Monlevade JMLT;2224,60
17.07.2014;06:30:00;07:30:00;X;;1,00;RC16 Posto Longana;2224,60
25.07.2014;17:30:00;19:00:00;X;;1,50;Manobra Nova Era;2224,60
30.07.2014;17:00:00;18:00:00;X;;1,00;RC07 Rio Piracicaba, RC0;2224,60
09.08.2014;20:00:00;23:30:00;X;;3,50;RC09 Lages;2224,60
11.08.2014;12:30:00;13:00:00;X;;0,50;Leitura Garimpo;2224,60
11.08.2014;17:00:00;18:30:00;X;;1,50;Poste aéreo nova era tra;2224,60
12.08.2014;07:00:00;07:30:00;X;;0,50;Manobra carro 2171;2224,60
12.08.2014;17:00:00;19:00:00;X;;2,00;Manobra São Gonçálo do R;2224,60
22.08.2014;17:00:00;18:00:00;X;;1,00;Troca de trafo no Fernan;2224,60
25.08.2014;17:00:00;18:00:00;X;;1,00;RC16 Linnet;2224,60
01.09.2014;17:00:00;17:30:00;X;;0,50;RC07, RC09 Cidade Nova;2224,60
04.09.2014;17:00:00;20:00:00;X;;3,00;Manobra JM;2224,60
07.09.2014;11:00:00;13:30:00;X;;2,50;RC's 07;2224,60
12.09.2014;17:00:00;18:30:00;X;;1,50;RC01, RC09 Lages;2224,60
16.09.2014;17:00:00;18:30:00;X;;1,50;Ligações Novas Prata;2224,60
20.10.2014;17:00:00;20:15:00;X;;3,25;Manobra Sitio Largo JMLT;2224,60
21.10.2014;12:30:00;13:00:00;X;;0,50;Rc's 07, 06, 09 São Domi;2224,60
21.10.2014;17:00:00;18:00:00;X;;1,00;RC's 06, 07 Bela Vista d;2224,60
28.10.2014;17:00:00;19:00:00;X;;2,00;Manobra religador 68366;2224,60
29.10.2014;12:30:00;13:00:00;X;;0,50;Troca de chave em Dionis;2224,60
29.10.2014;18:00:00;19:30:00;X;;1,50;RC09 Goiabal;2224,60
05.11.2014;12:30:00;13:00:00;X;;0,50;Manobra trevo Barão - De;2365,64
05.11.2014;17:00:00;18:00:00;X;;1,00;Manobra trevo Barão - De;2365,64
10.11.2014;12:30:00;13:00:00;X;;0,50;RC's 08, 07, 0324;2365,64
10.11.2014;17:00:00;20:30:00;X;;3,50;Rc's 08, 07, 09 0324;2365,64
11.11.2014;17:00:00;21:00:00;X;;4,00;Rc's 07, 08, 09, 03;2365,64
12.11.2014;12:30:00;13:00:00;X;;0,50;Rc's 07, 08, 09, 03 0324;2365,64
12.11.2014;17:00:00;19:30:00;X;;2,50;Rc'07, 30, 06, 08 0324;2365,64
13.11.2014;17:00:00;18:30:00;X;;1,50;Rcs 07, 08 Trevo de Barã;2365,64
13.11.2014;12:30:00;13:00:00;X;;0,50;RCs 07, 08 Antonio dos S;2365,64
14.11.2014;17:00:00;21:00:00;X;;4,00;Emenda cabo Alfié 308;2365,64
14.11.2014;12:30:00;13:00:00;X;;0,50;Manobra Linha do Alfié 3;2365,64
15.11.2014;17:30:00;23:00:00;X;;5,50;RC09, 08 Bela Vista;2365,64
15.11.2014;10:30:00;16:30:00;X;;6,00;RC's 09, 08, 07 Bela vis;2365,64
18.11.2014;12:30:00;13:00:00;X;;0,50;Rc's Bom Jesus;2365,64
18.11.2014;17:00:00;18:30:00;X;;1,50;Rc's Nova União;2365,64
19.11.2014;07:00:00;07:30:00;X;;0,50;Manobra Prata;2365,64
19.11.2014;17:00:00;17:30:00;X;;0,50;Manobra Prata;2365,64
20.11.2014;17:00:00;18:00:00;X;;1,00;Ligação Nova Prata;2365,64
21.11.2014;17:00:00;18:30:00;X;;1,50;RC12 Dionisio/LN Prata;2365,64
26.11.2014;12:30:00;13:00:00;X;;0,50;RC06 Piracicaba;2365,64
26.11.2014;17:00:00;19:00:00;X;;2,00;RC's LN Rio Piracicaba;2365,64
27.11.2014;17:00:00;18:00:00;X;;1,00;LN Rio Piracicaba;2365,64
28.11.2014;12:30:00;13:00:00;X;;0,50;Rc's LN Prata;2365,64
28.11.2014;17:00:00;19:30:00;X;;2,50;Rc's 07, 08 Prata;2365,64
29.11.2014;14:00:00;20:00:00;;X;6,00;RC's 08, 07, Manobra, No;2365,64
30.11.2014;06:30:00;12:30:00;X;;6,00;RC's 07 Dionísio;2365,64
01.12.2014;12:30:00;13:00:00;X;;0,50;RC 09 Nova união;2365,64
01.12.2014;17:30:00;18:00:00;X;;0,50;LN Roças Novas;2365,64
02.12.2014;12:30:00;13:00:00;;X;0,50;Manobra RDR Prainha;2365,64
02.12.2014;06:00:00;07:30:00;;X;1,50;Manobra RDR Prainha;2365,64
11.12.2014;17:30:00;19:30:00;X;;2,00;Atendimento RC'07;2365,64
12.12.2014;17:30:00;19:30:00;X;;2,00;Atendimento RC'07;2365,64
15.12.2014;17:30:00;19:30:00;X;;2,00;Atendimento RC'07;2365,64
17.12.2014;06:30:00;07:30:00;X;;1,00;Manobra Nova Era;2365,64
19.12.2014;17:30:00;18:00:00;X;;0,50;Manobra Nova Era;2365,64
19.12.2014;05:00:00;07:30:00;X;;2,50;Manobra Nova Era;2365,64
21.12.2014;13:30:00;18:30:00;X;;5,00;Atendimento RC's 07, 08;2365,64
21.12.2014;08:30:00;12:30:00;X;;4,00;Atendimento RC's 07, 08;2365,64
22.12.2014;12:30:00;13:00:00;X;;0,50;RC's Nova Era;2365,64
22.12.2014;17:30:00;20:00:00;X;;2,50;RC07 Prata;2365,64
