Data;Nome do Feriado;Feriado;Cargo;Regime de trabalho;Salario Base;Salario Bruto;ValorHE/Hora
06/03/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
07/03/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
08/03/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
09/03/2013;-;Nao;Eletricista;Folga;1356,8;1763,84;8,82
10/03/2013;-;Nao;Eletricista;Folga;1356,8;1763,84;8,82
11/03/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
12/03/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
13/03/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
14/03/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
15/03/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
16/03/2013;-;Nao;Eletricista;Folga;1356,8;1763,84;8,82
17/03/2013;-;Nao;Eletricista;Folga;1356,8;1763,84;8,82
18/03/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
19/03/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
20/03/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
21/03/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
22/03/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
23/03/2013;-;Nao;Eletricista;Folga;1356,8;1763,84;8,82
24/03/2013;-;Nao;Eletricista;Folga;1356,8;1763,84;8,82
25/03/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
26/03/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
27/03/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
28/03/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
29/03/2013;Paixão de Cristo;Sim;Eletricista;Trabalho;1356,8;1763,84;8,82
30/03/2013;-;Nao;Eletricista;Folga;1356,8;1763,84;8,82
31/03/2013;-;Nao;Eletricista;Folga;1356,8;1763,84;8,82
01/04/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
02/04/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
03/04/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
04/04/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
05/04/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
06/04/2013;-;Nao;Eletricista;Folga;1356,8;1763,84;8,82
07/04/2013;-;Nao;Eletricista;Folga;1356,8;1763,84;8,82
08/04/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
09/04/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
10/04/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
11/04/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
12/04/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
13/04/2013;-;Nao;Eletricista;Folga;1356,8;1763,84;8,82
14/04/2013;-;Nao;Eletricista;Folga;1356,8;1763,84;8,82
15/04/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
16/04/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
17/04/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
18/04/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
19/04/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
20/04/2013;-;Nao;Eletricista;Folga;1356,8;1763,84;8,82
21/04/2013;Tiradentes;Sim;Eletricista;Folga;1356,8;1763,84;8,82
22/04/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
23/04/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
24/04/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
25/04/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
26/04/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
27/04/2013;-;Nao;Eletricista;Folga;1356,8;1763,84;8,82
28/04/2013;-;Nao;Eletricista;Folga;1356,8;1763,84;8,82
29/04/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
30/04/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
01/05/2013;Dia do Trabalho;Sim;Eletricista;Trabalho;1356,8;1763,84;8,82
02/05/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
03/05/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
04/05/2013;-;Nao;Eletricista;Folga;1356,8;1763,84;8,82
05/05/2013;-;Nao;Eletricista;Folga;1356,8;1763,84;8,82
06/05/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
07/05/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
08/05/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
09/05/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
10/05/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
11/05/2013;-;Nao;Eletricista;Folga;1356,8;1763,84;8,82
12/05/2013;-;Nao;Eletricista;Folga;1356,8;1763,84;8,82
13/05/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
14/05/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
15/05/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
16/05/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
17/05/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
18/05/2013;-;Nao;Eletricista;Folga;1356,8;1763,84;8,82
19/05/2013;-;Nao;Eletricista;Folga;1356,8;1763,84;8,82
20/05/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
21/05/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
22/05/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
23/05/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
24/05/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
25/05/2013;-;Nao;Eletricista;Folga;1356,8;1763,84;8,82
26/05/2013;-;Nao;Eletricista;Folga;1356,8;1763,84;8,82
27/05/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
28/05/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
29/05/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
30/05/2013;Corpus Christi;Sim;Eletricista;Trabalho;1356,8;1763,84;8,82
31/05/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
01/06/2013;-;Nao;Eletricista;Folga;1356,8;1763,84;8,82
02/06/2013;-;Nao;Eletricista;Folga;1356,8;1763,84;8,82
03/06/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
04/06/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
05/06/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
06/06/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
07/06/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
08/06/2013;-;Nao;Eletricista;Folga;1356,8;1763,84;8,82
09/06/2013;-;Nao;Eletricista;Folga;1356,8;1763,84;8,82
10/06/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
11/06/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
12/06/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
13/06/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
14/06/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
15/06/2013;-;Nao;Eletricista;Folga;1356,8;1763,84;8,82
16/06/2013;-;Nao;Eletricista;Folga;1356,8;1763,84;8,82
17/06/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
18/06/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
19/06/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
20/06/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
21/06/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
22/06/2013;-;Nao;Eletricista;Folga;1356,8;1763,84;8,82
23/06/2013;-;Nao;Eletricista;Folga;1356,8;1763,84;8,82
24/06/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
25/06/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
26/06/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
27/06/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
28/06/2013;-;Nao;Eletricista;Trabalho;1356,8;1763,84;8,82
29/06/2013;-;Nao;Eletricista;Folga;1356,8;1763,84;8,82
30/06/2013;-;Nao;Eletricista;Folga;1356,8;1763,84;8,82
01/07/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
02/07/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
03/07/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
04/07/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
05/07/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
06/07/2013;-;Nao;Eletricista;Folga;1475,85;1918,61;9,59
07/07/2013;-;Nao;Eletricista;Folga;1475,85;1918,61;9,59
08/07/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
09/07/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
10/07/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
11/07/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
12/07/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
13/07/2013;-;Nao;Eletricista;Folga;1475,85;1918,61;9,59
14/07/2013;-;Nao;Eletricista;Folga;1475,85;1918,61;9,59
15/07/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
16/07/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
17/07/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
18/07/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
19/07/2013;-;Nao;Eletricista;Trabalho;1475,85;1918,61;9,59
20/07/2013;-;Nao;Eletricista;Folga;1475,85;1918,61;9,59
21/07/2013;-;Nao;Eletricista;Folga;1475,85;1918,61;9,59
