Data,Dia da semana,Mes,Ano,Feriado,Cargo,Regime de trabalho,Salario Base,Salario Bruto,Valor_HE_por_hora,Hora_inicio,Hora_fim,qtd_HE,HE_retorno,Tipo_HE
2013-03-06,Quarta-feira,Março,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-03-07,Quinta-feira,Março,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-03-08,Sexta-feira,Março,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-03-09,Sábado,Março,2013,Nao,Eletricista,Folga,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-03-10,Domingo,Março,2013,Nao,Eletricista,Folga,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-03-11,Segunda-feira,Março,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-03-12,Terça-feira,Março,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-03-13,Quarta-feira,Março,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-03-14,Quinta-feira,Março,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-03-15,Sexta-feira,Março,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-03-16,Sábado,Março,2013,Nao,Eletricista,Folga,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-03-17,Domingo,Março,2013,Nao,Eletricista,Folga,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-03-18,Segunda-feira,Março,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-03-19,Terça-feira,Março,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-03-20,Quarta-feira,Março,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-03-21,Quinta-feira,Março,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-03-22,Sexta-feira,Março,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-03-23,Sábado,Março,2013,Nao,Eletricista,Folga,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-03-24,Domingo,Março,2013,Nao,Eletricista,Folga,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-03-25,Segunda-feira,Março,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-03-26,Terça-feira,Março,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-03-27,Quarta-feira,Março,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-03-28,Quinta-feira,Março,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-03-29,Sexta-feira,Março,2013,Paixao de Cristo,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-03-30,Sábado,Março,2013,Nao,Eletricista,Folga,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-03-31,Domingo,Março,2013,Nao,Eletricista,Folga,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-04-01,Segunda-feira,Abril,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-04-02,Terça-feira,Abril,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-04-03,Quarta-feira,Abril,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-04-04,Quinta-feira,Abril,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-04-05,Sexta-feira,Abril,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-04-06,Sábado,Abril,2013,Nao,Eletricista,Folga,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-04-07,Domingo,Abril,2013,Nao,Eletricista,Folga,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-04-08,Segunda-feira,Abril,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-04-09,Terça-feira,Abril,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-04-10,Quarta-feira,Abril,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-04-11,Quinta-feira,Abril,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-04-12,Sexta-feira,Abril,2013,Nao,Eletricista,Trabalho,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-04-13,Sábado,Abril,2013,Nao,Eletricista,Folga,1.0,1.3,0.006500000000000001,,,0.0,,nan
2013-04-14,Domingo,Abril,2013,Nao,Eletricista,Folga,1.0,1.3,0.006500000000000001,,,0.0,,nan
